file_name,text
1frame_1,"Own ship (Vessel ID 2) is sailing at a low speed of 2.2 knots on a course of 203 degrees. The situation is complex with 4 vessels nearby. A fishing vessel (Vessel ID 1) on the port bow and a cruise ship (Vessel ID 4) and a boat (Vessel ID 3) on the starboard bow are crossing the own ship's course. Specifically, the own ship is the give-way vessel for the cruise ship and the boat, so their movements must be monitored, and preparations made to alter course to starboard or reduce speed. For the fishing vessel on the port side, the own ship is the stand-on vessel, but it must be continuously confirmed whether the other vessel is giving way."
1frame_2,"Own ship (Vessel ID 2) is sailing at a low speed of 2.3 knots on a course of 203 degrees. A cruise ship (Vessel ID 4) is crossing the own ship's course from the starboard bow at a high speed of 7.3 knots on a course of 289 degrees. According to COLREGs, the own ship is the give-way vessel, so it must immediately alter course to starboard or reduce speed to avoid the cruise ship's path. Since the other vessel's speed is very fast, it is important to take early and substantial action to give way. The fishing vessel (Vessel ID 0) on the port side is moving away, so there is no danger."
1frame_3,"Own ship (Vessel ID 2) is sailing at a speed of 6.6 knots on a course of 203 degrees. A fishing vessel (Vessel ID 0) is approaching from the port bow at a high speed of 7.4 knots on a course of 102 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is high as the other vessel is approaching fast and the distance is closing. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If it does not give way, the own ship must sound a warning signal and immediately alter course to starboard to avoid a collision."
1frame_4,"Own ship (Vessel ID 2) is sailing at a low speed of 2.3 knots on a course of 203 degrees. A cruise ship (Vessel ID 4) and a boat (Vessel ID 3) are crossing the own ship's course from the starboard bow on courses of 289 degrees and 283 degrees, respectively. The own ship has the obligation to give way to both vessels. Since both vessels are approaching almost side-by-side, the own ship must alter course significantly to starboard to pass astern of both vessels, or reduce speed sufficiently to let them pass safely. This is a complex situation requiring careful maneuvering."
1frame_5,"Own ship (Vessel ID 2) is sailing at 3.8 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a speed of 5.2 knots on a course of 0 degrees. In this crossing situation which is close to a head-on situation, the own ship is the stand-on vessel. However, the risk of collision is very high as the other vessel's course is almost directly facing the own ship. It must be immediately confirmed whether the other vessel alters course to starboard to give way. If not, the own ship must also immediately alter course to starboard to attempt a port-to-port passing."
1frame_6,"Own ship (Vessel ID 2) is sailing at a low speed of 1.3 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a slow speed of 1.7 knots on a course of 0 degrees. This is a near head-on situation, and according to COLREGs, both vessels must alter course to starboard to pass port-to-port. Both vessels are slow, allowing some time, but clear avoidance action is necessary. The own ship must immediately alter course to starboard and sound a whistle signal to indicate its intention to give way."
1frame_7,"Own ship (Vessel ID 2) is sailing at a low speed of 1.4 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a speed of 3.7 knots on a course of 0 degrees. This is a crossing situation close to head-on, and while the own ship is the stand-on vessel, the risk of collision is high. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If the other vessel shows no sign of avoidance, the own ship must immediately send a warning signal and alter course to starboard to avoid collision."
1frame_8,"Own ship (Vessel ID 2) is sailing at a low speed of 1.1 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching very closely from the port bow at a high speed of 7.2 knots on a course of 0 degrees. This is an extremely dangerous situation with an imminent head-on collision. The own ship is the stand-on vessel, but there is no time to wait for the other vessel to give way. An emergency warning signal must be sounded immediately, and emergency maneuvers, including engine astern and maximum starboard rudder, must be taken to avoid a collision."
1frame_9,"Own ship (Vessel ID 2) is sailing at a speed of 2.3 knots on a course of 203 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
1frame_10,"Own ship (Vessel ID 2) is sailing at a speed of 5.5 knots on a course of 203 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
2frame_1,"Own ship (Vessel ID 2) is sailing at a speed of 7.3 knots on a course of 188 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
2frame_2,"Own ship (Vessel ID 2) is sailing at a fast speed of 7.9 knots on a course of 188 degrees. The situation is complex with 4 vessels concentrated on the port bow. Since they are all located on the port side of the own ship, the own ship is the stand-on vessel. However, a fishing vessel (Vessel ID 0) and a cruise ship (Vessel ID 3) are crossing the own ship's course on courses of 81 degrees and 42 degrees respectively, posing a risk of collision. The avoidance actions of the other vessels must be closely monitored, and preparations made for immediate warning and avoidance in case of danger."
2frame_3,"Own ship (Vessel ID 2) is sailing at a low speed of 1.1 knots on a course of 188 degrees. A boat (Vessel ID 4) is approaching from the port bow at a high speed of 7.3 knots on a course of 34 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is high as the other vessel is approaching fast and the distance is closing. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If it does not give way, the own ship must sound a warning signal and immediately alter course to starboard to avoid a collision."
2frame_4,"Own ship (Vessel ID 2) is sailing at a low speed of 1.9 knots on a course of 188 degrees. A cruise ship (Vessel ID 3), a boat (Vessel ID 4), and a fishing vessel (Vessel ID 5) are approaching in a concentrated group on the port bow. The own ship is the stand-on vessel for all three, but the risk of collision is very high as the cruise ship and the boat are crossing the course at high speeds of 7.4 knots and 6.1 knots respectively. With multiple vessels in close proximity, an incorrect maneuver by one vessel could lead to a chain of dangerous events. Immediate preparation for warning and avoidance is necessary."
2frame_5,"Own ship (Vessel ID 2) is sailing at 2.8 knots on a course of 188 degrees. A large cruise ship (Vessel ID 3) is approaching from the port bow at 3.3 knots on a course of 42 degrees, followed by a boat (Vessel ID 4) at 4.0 knots on a course of 34 degrees. The own ship is the stand-on vessel for both. The cruise ship has the obligation to give way, but due to its large size, its maneuvers may be sluggish, so it must be confirmed that it keeps a sufficient distance while giving way. The movements of both vessels must be continuously monitored to prepare for danger."
2frame_6,"Own ship (Vessel ID 2) is sailing at a speed of 5.8 knots on a course of 188 degrees. A boat (Vessel ID 4) is approaching from the port bow at a speed of 5.2 knots on a course of 34 degrees. In this crossing situation, the own ship is the stand-on vessel. There is a risk of collision as the speeds of both vessels are similar and their courses intersect. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If the avoidance action is minimal or absent, the own ship must send a warning signal and alter course to starboard to avoid a collision."
2frame_7,"Own ship (Vessel ID 2) is sailing at a speed of 5.4 knots on a course of 188 degrees. A fishing vessel (Vessel ID 0) is approaching from the starboard bow at a speed of 5.3 knots on a course of 81 degrees. In this crossing situation, the own ship is the give-way vessel, so it must immediately alter course to starboard or reduce speed to avoid the fishing vessel's path. Since the speeds of both vessels are similar, the situation can change quickly, so it is important to take clear avoidance action early."
2frame_8,"Own ship (Vessel ID 2) is sailing at a speed of 6.6 knots on a course of 188 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a high speed of 7.1 knots on a course of 35 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is high due to the other vessel's high speed and close distance. Closely monitor whether the other vessel gives way, and be prepared to respond with a warning and a starboard turn in case of danger. The fishing vessel (Vessel ID 0) on the starboard side is moving away, so there is no danger."
2frame_9,"Own ship (Vessel ID 2) is sailing at 3.3 knots on a course of 188 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a speed of 4.7 knots on a course of 35 degrees. In this crossing situation, the own ship is the stand-on vessel. The other vessel has the obligation to give way, but one should not blindly rely on it as the fishing vessel's maneuverability may be restricted due to fishing operations. Continuously monitor the other vessel's movements and prepare an avoidance plan in case of emergency."
2frame_10,"Own ship (Vessel ID 2) is sailing at a speed of 5.2 knots on a course of 188 degrees. A fishing vessel (Vessel ID 5) is approaching very closely from the port bow at a speed of 4.8 knots on a course of 35 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is extremely high due to the very close distance. Since it is difficult to expect the other vessel to give way, the own ship must immediately send a warning signal and alter course significantly to starboard to avoid collision."
3frame_1,"Own ship (Vessel ID 6) is sailing at a low speed of 1.7 knots on a course of 107 degrees. The situation is very complex and dangerous with 5 vessels nearby. In particular, a boat (Vessel ID 3) and a cruise ship (Vessel ID 5) on the starboard bow are crossing the course at high speeds of 7.0 knots and 7.8 knots, respectively, creating a very high risk of collision. The own ship has the obligation to give way to these two vessels, so it must immediately alter course to starboard or reduce speed. Other vessels should also be watched closely to prepare for complex dangers."
3frame_2,"Own ship (Vessel ID 6) is sailing at 3.9 knots on a course of 107 degrees. A fishing vessel (Vessel ID 1) is approaching from the port bow at a high speed of 7.5 knots on a course of 359 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is very high as the other vessel's speed is very fast and its course is almost head-on. Closely monitor whether the other vessel gives way, and be prepared to respond with a warning and a starboard turn in case of danger. Two other fishing vessels are also coming into view, so caution is required."
3frame_3,"Own ship (Vessel ID 6) is sailing at 4.8 knots on a course of 107 degrees. A fishing vessel (Vessel ID 2) is approaching from the port bow at 2.5 knots on a course of 68 degrees, and another fishing vessel (Vessel ID 4) is approaching from the starboard bow at 3.0 knots on a course of 36 degrees. The own ship is the stand-on vessel for the fishing vessel on the port side and the give-way vessel for the fishing vessel on the starboard side. It is safe for the own ship to alter course to starboard to avoid the fishing vessel on the starboard side, for which it has the obligation to give way. This action is effective as it also increases the distance from the fishing vessel on the port side."
3frame_4,"Own ship (Vessel ID 6) is sailing at 3.2 knots on a course of 107 degrees. A fishing vessel (Vessel ID 4) is approaching from the starboard bow at a high speed of 5.6 knots on a course of 36 degrees. In this crossing situation, the own ship is the give-way vessel, so it must immediately alter course to starboard or reduce speed to avoid the fishing vessel's path. Since the other vessel's speed is fast, it is important to take clear avoidance action early. The boat (Vessel ID 3) on the starboard stern is moving away, so there is no danger."
3frame_5,"Own ship (Vessel ID 6) is sailing at a speed of 5.5 knots on a course of 107 degrees. A boat (Vessel ID 3) is approaching from the starboard bow at a high speed of 6.2 knots on a course of 247 degrees. In this crossing situation, the own ship is the give-way vessel, so it must immediately alter course to starboard to pass safely astern of the boat. Since the other vessel's speed is fast, avoidance action must be initiated without delay."
3frame_6,"Own ship (Vessel ID 6) is sailing at a speed of 4.2 knots on a course of 107 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
3frame_7,"Own ship (Vessel ID 6) is sailing at a fast speed of 8.0 knots on a course of 107 degrees. A boat (Vessel ID 3) and a cruise ship (Vessel ID 5) are approaching from the starboard bow on courses of 247 degrees and 228 degrees, respectively. The own ship has the obligation to give way to both vessels. In particular, since the cruise ship is large and its maneuvers are sluggish, the safest method is to keep a sufficient distance and alter course significantly to starboard to pass astern of both vessels."
3frame_8,"Own ship (Vessel ID 6) is sailing at a low speed of 1.4 knots on a course of 107 degrees. A boat (Vessel ID 3) is approaching from the starboard bow at a very high speed of 7.9 knots on a course of 247 degrees. In this crossing situation, the own ship is the give-way vessel, and the risk of collision is extremely high due to the other vessel's very high speed. Immediate emergency maneuvers are required, including reversing the engine to decelerate rapidly and simultaneously altering course to starboard to avoid collision. "
3frame_9,"Own ship (Vessel ID 6) is sailing at a speed of 5.7 knots on a course of 107 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
3frame_10,"Own ship (Vessel ID 6) is sailing at a speed of 2.4 knots on a course of 107 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
4frame_1,"Own ship (Vessel ID 5) is sailing at a speed of 7.8 knots on a course of 194 degrees. A fishing vessel (Vessel ID 1) and a boat (Vessel ID 4) are crossing the own ship's course on the port bow. For both vessels, the own ship is the stand-on vessel, so in principle, it should maintain its course and speed. However, as the fishing vessel is approaching fast at 6.8 knots, monitor the other's avoidance status closely and prepare for cooperative actions such as altering course to starboard in case of emergency."
4frame_2,"Own ship (Vessel ID 5) is sailing at a low speed of 1.2 knots on a course of 194 degrees. A boat (Vessel ID 4) is approaching from the port bow at a high speed of 5.9 knots on a course of 70 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is high as the other vessel is approaching fast and the distance is closing. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If it does not give way, the own ship must sound a warning signal and immediately alter course to starboard to avoid a collision."
4frame_3,"Own ship (Vessel ID 5) is sailing at 3.7 knots on a course of 194 degrees. Three vessels - a fishing vessel (Vessel ID 1), another fishing vessel (Vessel ID 2), and a cruise ship (Vessel ID 3) - are overtaking the own ship from the starboard stern. As the overtaken vessel, the own ship must maintain its course and speed. However, since multiple vessels are overtaking closely at the same time, their movements must be continuously monitored to ensure a safe distance is maintained."
4frame_4,"Own ship (Vessel ID 5) is sailing at a speed of 6.4 knots on a course of 194 degrees. A fishing vessel (Vessel ID 0) is approaching from the port bow at a speed of 6.3 knots on a course of 233 degrees. In this crossing situation, the own ship is the stand-on vessel. There is a risk of collision as the speeds of both vessels are similar and their courses intersect. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If the avoidance action is minimal or absent, the own ship must send a warning signal and alter course to starboard to avoid a collision."
4frame_5,"Own ship (Vessel ID 5) is sailing at a fast speed of 7.8 knots on a course of 194 degrees. A fishing vessel (Vessel ID 2) on the starboard stern and a cruise ship (Vessel ID 3) on the port stern are both moving away at a slower speed than the own ship, so there is no risk of collision. It is judged to be a safe situation, but navigation should continue with thorough forward vigilance."
4frame_6,"Own ship (Vessel ID 5) is sailing at 4.4 knots on a course of 194 degrees. A fishing vessel (Vessel ID 2) is moving away from the starboard stern at a slow speed of 2.0 knots on a course of 286 degrees. It is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
4frame_7,"Own ship (Vessel ID 5) is sailing at a speed of 4.4 knots on a course of 194 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
4frame_8,"Own ship (Vessel ID 5) is sailing at 5.6 knots on a course of 194 degrees. A fishing vessel (Vessel ID 2) and a boat (Vessel ID 4) are crossing the own ship's course on the port bow. The own ship is the stand-on vessel for both. However, since two vessels are approaching simultaneously, a dangerous situation may occur if even one does not give way. Closely monitor the movements of both vessels, and be prepared to warn and give way immediately in case of danger."
4frame_9,"Own ship (Vessel ID 5) is sailing at a low speed of 2.3 knots on a course of 194 degrees. A fishing vessel (Vessel ID 2) is approaching from the port bow at a very high speed of 7.5 knots on a course of 286 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is extremely high as the other vessel is approaching very fast and the distance is close. Since it is difficult to expect the other vessel to give way, the own ship must immediately send a warning signal and alter course significantly to starboard to avoid collision."
4frame_10,"Own ship (Vessel ID 5) is sailing at a speed of 6.0 knots on a course of 194 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
5frame_1,"Own ship (Vessel ID 5) is sailing at a fast speed of 7.8 knots on a course of 60 degrees. A boat (Vessel ID 0) is approaching from the starboard bow at 6.3 knots on a course of 137 degrees, so the own ship has the obligation to give way. At the same time, a cruise ship (Vessel ID 1) is approaching from the port bow on a course of 24 degrees. The own ship must immediately alter course to starboard to avoid the boat on the starboard side for which it has the obligation to give way; this action is safe as it also increases the distance from the cruise ship on the port side."
5frame_2,"Own ship (Vessel ID 5) is sailing at 4.4 knots on a course of 60 degrees. A cruise ship (Vessel ID 1) from the port stern, and a fishing vessel (Vessel ID 2) and a boat (Vessel ID 3) from the starboard stern are overtaking the own ship. As the overtaken vessel, the own ship must maintain its course and speed. However, since multiple vessels are overtaking closely at the same time, their movements must be continuously monitored to ensure a safe distance is maintained."
5frame_3,"Own ship (Vessel ID 5) is sailing at 4.0 knots on a course of 60 degrees. A fishing vessel (Vessel ID 2) and a boat (Vessel ID 3) are overtaking the own ship from the starboard stern. The principle is for the own ship to maintain its course and speed as the overtaken vessel. Continuously monitor the movements of the two vessels, and be prepared to send a warning signal and take cooperative action if they approach dangerously."
5frame_4,"Own ship (Vessel ID 5) is sailing at a low speed of 1.3 knots on a course of 60 degrees. A fishing vessel (Vessel ID 2) and a boat (Vessel ID 3) are overtaking the own ship from the starboard stern at high speeds of 4.9 knots and 7.9 knots, respectively. The own ship must maintain its course and speed as the overtaken vessel, but must especially watch the movement of the very fast boat (Vessel ID 3) and check the safe distance."
5frame_5,"Own ship (Vessel ID 5) is sailing at 3.3 knots on a course of 60 degrees. A fishing vessel (Vessel ID 2) is approaching very closely from the starboard bow at a speed of 5.1 knots on a course of 272 degrees. In this crossing situation, the own ship is the give-way vessel, and the risk of collision is extremely high due to the very close distance. Immediate emergency maneuvers with engine astern and maximum starboard rudder are required to avoid collision."
5frame_6,"Own ship (Vessel ID 5) is sailing at 6.5 knots on a course of 60 degrees. A fishing vessel (Vessel ID 2) is approaching from the starboard bow at 6.0 knots on a course of 272 degrees, so the own ship has the obligation to give way. At the same time, a boat (Vessel ID 3) is overtaking the own ship from the starboard stern. The own ship must alter course to starboard or reduce speed to avoid the fishing vessel, and in this process, the relationship with the overtaking boat must be carefully considered."
5frame_7,"Own ship (Vessel ID 5) is sailing at 4.8 knots on a course of 60 degrees. A fishing vessel (Vessel ID 2) and a boat (Vessel ID 3) are approaching simultaneously and very closely from the starboard bow. Since the own ship has the obligation to give way to both vessels, altering course to starboard alone is difficult to resolve both dangers. The safest action is to immediately stop or reverse the engine to drastically reduce speed and gain time for the two vessels to pass."
5frame_8,"Own ship (Vessel ID 5) is sailing at a speed of 7.6 knots on a course of 60 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
5frame_9,"Own ship (Vessel ID 5) is sailing at 4.2 knots on a course of 60 degrees. A cruise ship (Vessel ID 1) is moving away from the starboard stern on a course of 24 degrees slower than the own ship, so there is no risk of collision. It is judged to be a safe situation, but navigation should continue with thorough forward vigilance."
5frame_10,"Own ship (Vessel ID 5) is sailing at a speed of 6.9 knots on a course of 60 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."